,productnaam,prijs
472,"icy box ib-123cl-u3 kl docking/kloonstation 2x3,5""",61
473,transcend storejet 25m3 1tb groen,69
474,samsung portable t5 500gb rood externe ssd,89
475,western digital my passport for mac externe harde schijf 5000 gb blauw,174
476,western digital my passport ultra externe harde schijf 5000 gb blauw,180
477,samsung t7 touch 500gb zilver externe ssd,89
478,seagate one touch externe harde schijf 5000 gb blauw,135
479,delock 64069 interfacekaart/-adapter m.2 intern,64
480,conceptronic emrick05b interfacekaart/-adapter m.2 intern,16
481,wd my cloud ex2 ultra 8tb,389
482,toshiba canvio flex 2.5 1tb usb 3.2 gen 1,68
483,seagate expansion stkp10000400 externe harde schijf 10000 gb zwart,209
484,"wd hdd 3.5"" 16tb s-ata3 wd161kryz gold",475
485,wd black sn750 500gb heatsink m.2 ssd,92
486,seagate one touch externe harde schijf 1000 gb blauw,68
487,nas starterkit synology ds420+ + 2x 4tb seagate ironwolf,714
488,"case logic luxe externe harddisk case, rood, 2.5""",14
489,western digital elements se 1tb 400ms/s read wdbayn0010bbk-wesn externe ssd,118
490,patriot memory p310 240 gb pci express 3.0 nvme m.2 ssd,23
491,toshiba hdd 3tb dt01aca300,79
492,"toshiba n300 nas 10tb 3.5"" sata iii hdwg11auzsva",259
493,toshiba s300 surveillance hdd 6000gb sata iii interne harde schijf,185
494,"seagate hdd 3.5"" exos 7e8 512e 8tb",195
495,"toshiba n300 nas 16tb 3.5"" sata iii hdwg31guzsva",449
496,western digital blue wd20ezrz 2tb,87
497,seagate basic externe harde schijf 4000 gb zilver,99
498,western digital red plus wd80efbx 8tb,249
499,wd red sn700 1tb m.2 ssd,102
500,delock 42486 usb powered opslagbehuizing,22
501,synology diskstation ds2422+ data-opslag-server nas tower ethernet lan zwart v1500b nas,2140
502,wd black sn750 2tb heatsink m.2 ssd,399
503,sandisk extreme pro portable v2 2000 gb zwart externe ssd,379
504,western digital extreme portable 4000 gb blauw externe ssd,499
505,seagate firecuda gaming hub externe harde schijf 16000 gb zwart,389
506,qnap ts-462-2g nas,559
507,toshiba s300 surveillance hdd 4000gb sata iii interne harde schijf,108
508,"act ac1225 behuizing voor opslagstations hdd-/ssd-behuizing zwart 2.5""",30
509,western digital my cloud expert series ex2 ultra nas,1080
